Title,Poster,Genre,Hybrid_Score
All of Us Strangers,"https://m.media-amazon.com/images/M/MV5BZmYzMjMzN2EtMGYwNi00ODc3LWI3YTctMjA5YjI1MGFkYTlhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg","Drama, Fantasy, Romance",5.217072984566535
I Saw the TV Glow,"https://m.media-amazon.com/images/M/MV5BMjcyZjFhYjYtMWYwZS00ZmY4LTgxYTgtODQ4NWFkM2ZiODU0XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY209_CR0,0,140,209_AL_.jpg","Drama, Horror",4.394450974704993
Killers of the Flower Moon,"https://m.media-amazon.com/images/M/MV5BMjE4ZTZlNDAtM2Q3YS00YjFhLThjN2UtODg2ZGNlN2E2MWU2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UX140_CR0,0,140,209_AL_.jpg","Crime, Drama, History",5.467548506266506
The First Omen,"https://m.media-amazon.com/images/M/MV5BMzI2YmYwZWYtNzgzNi00ODU2LWE1NWMtZmY4NTJjYzIyNTIxXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_UY209_CR0,0,140,209_AL_.jpg",Horror,4.583994076968874
Gladiator,"https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY209_CR0,0,140,209_AL_.jpg","Action, Adventure, Drama",6.660381333292625
Vermines,"https://m.media-amazon.com/images/M/MV5BYjRjOTg0NzUtMTBhYi00ODNkLWFlMjItNGYxYTM4MTg0YjMxXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_UY209_CR8,0,140,209_AL_.jpg",Horror,4.2695635580930285
Wonka,"https://m.media-amazon.com/images/M/MV5BNDM4NTk0NjktZDJhMi00MmFmLTliMzEtN2RkZDY2OTNiMDgzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY209_CR13,0,140,209_AL_.jpg","Adventure, Comedy, Family",4.8828445814951085
Damsel,"https://m.media-amazon.com/images/M/MV5BODRiMTA4NGMtOTQzZC00OWFjLWFmODctMjY2ZTcwYjI5NDMyXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_UY209_CR13,0,140,209_AL_.jpg","Action, Adventure, Fantasy",4.206185598485658
The Equalizer,"https://m.media-amazon.com/images/M/MV5BMTQ2MzE2NTk0NF5BMl5BanBnXkFtZTgwOTM3NTk1MjE@._V1_UY209_CR0,0,140,209_AL_.jpg","Action, Crime, Thriller",5.014876272764743
Mufasa: The Lion King,"https://m.media-amazon.com/images/M/MV5BM2IxZTc4YjctM2RhZS00YTEyLThhMzItNTJmNTdhYzQ1Mjc4XkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_UY209_CR0,0,140,209_AL_.jpg","Animation, Adventure, Drama",4.292397851525034
The Lord of the Rings: The War of the Rohirrim,"https://m.media-amazon.com/images/M/MV5BYjI1NTMzNjgtYjFmOS00YzFjLTg3MTEtMDgxZTcwZTE2NDM2XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_UY209_CR8,0,140,209_AL_.jpg","Animation, Action, Adventure",4.292397851525034
Pulp Fiction,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY209_CR2,0,140,209_AL_.jpg","Crime, Drama",7.0919779565542616
